count,judge,statute,judge_total,stat_totals
605,R_SUSTER,2921.11,0,8
606,R_SUSTER,2921.12,32,1916
607,R_SUSTER,2921.31,5,1161
608,R_SUSTER,2921.32,5,192
609,R_SUSTER,2921.33,24,2511
610,R_SUSTER,2921.34,8,1760
611,R_SUSTER,2921.36,10,514
612,R_SUSTER,2921.38,2,263
613,R_SUSTER,2921.41,0,31
614,R_SUSTER,2921.44,0,2
615,R_SUSTER,2921.45,0,2
616,R_SUSTER,2923.01,0,18
617,R_SUSTER,2923.02,0,2
618,R_SUSTER,2923.12,40,4548
619,R_SUSTER,2923.13,54,4605
620,R_SUSTER,2923.15,3,170
621,R_SUSTER,2923.20,0,150
622,R_SUSTER,2923.24,107,8509
623,R_SUSTER,2923.32,0,14
624,R_SUSTER,2923.42,2,53
625,R_SUSTER,2925.03,122,8016
626,R_SUSTER,2925.04,3,158
627,R_SUSTER,2925.06,0,0
628,R_SUSTER,2925.11,163,14050
629,R_SUSTER,2925.23,3,263
630,R_SUSTER,2927.01,0,29
631,R_SUSTER,2927.03,0,0
632,R_SUSTER,2927.12,0,29
633,R_SUSTER,2950.06,5,755
634,R_SUSTER,2963.24,0,2
635,BJ_SHEEHAN,2903.02,16,812
636,BJ_SHEEHAN,2903.03,2,45
637,BJ_SHEEHAN,2903.04,8,183
638,BJ_SHEEHAN,2903.041,1,17
639,BJ_SHEEHAN,2903.05,1,5
640,BJ_SHEEHAN,2903.06,6,99
641,BJ_SHEEHAN,2903.08,14,367
642,BJ_SHEEHAN,2903.09,0,0
643,BJ_SHEEHAN,2903.11,199,6639
644,BJ_SHEEHAN,2903.13,129,3694
645,BJ_SHEEHAN,2903.21,78,2701
646,BJ_SHEEHAN,2905.01,135,4582
647,BJ_SHEEHAN,2905.02,52,1706
648,BJ_SHEEHAN,2950.05,25,944
649,BJ_SHEEHAN,2907.02,44,1561
650,BJ_SHEEHAN,2907.03,18,425
651,BJ_SHEEHAN,2907.04,17,430
